PILPROJ;Deb;PILPROJ_DEB_FR_1;Conversations;Quelle icône permet d'ajouter des participants à une conversation de groupe? ;Which icon can add participants to a group conversation? (To add a participant to a group conversation, which icon should I use?);Icône Activer la vidéo//Icône Ajouter des participants//Icône Détacher la fenêtre;Activate video icon//Add participants icon//Pop out chat icon;"Si je dois ajouter des nouvelles personnes à une conversation de groupe, j'utilise la fonctionnalité ""Ajouter des participants"" au lieu de créer une nouvelle conversation. ";"When I have to add new people to a group conversation, I use the ""Add Participants"" feature instead of creating a new conversation.";B;QCMUniqueImage
PILPROJ;Deb;PILPROJ_DEB_FR_2;Conversations;Que fait Megan dans la vidéo?;What is Megan doing in the video?;Elle ajoute des nouvelles personnes dans la conversation.//Elle partage tout l'historique de conversation.//Elle ajoute des nouvelles personnes dans la conversation et elle partage l'historique de la conversation datant de 2 jours.;She is adding new people to the conversation.//She shares all the conversation history.//She is adding new people to the conversation and is sharing 2 days of the conversation history.;Quand j'ajoute une nouvelle personne à une conversation de groupe, je lui partage l'historique de conversation pour qu'elle dispose de toutes les informations sur le projet. ;When I add a new person to a group conversation, I share the conversation history so they have all the information about the project.;C;QCMUniqueVideo
PILPROJ;Deb;PILPROJ_DEB_FR_3;Fichiers;Est-ce que je peux travailler simultanément avec mes collègues sur un même fichier Powerpoint? ;Can I work simultaneously with my colleagues on the same PowerPoint file?;Ce n'est pas possible aujourd'hui dans Teams.//Si un.e collègue travaille déjà sur le fichier, je ne serai qu'en lecture seule.//Bien sûr, la co-édition est possible dans Teams, sur Excel, Word, PowerPoint ou OneNote!;This is not possible today in Teams.//If a colleague is already working on the file, it will be read-only.//Of course, co-editing is possible in Teams, Excel, Word, PowerPoint or OneNote!;Je partage mes fichiers dans mes équipes Teams. Ainsi, mes collègues et moi-même pouvons travailler sur une même version d'un document, plutôt que d'envoyer des versions successives par email.;I share my files in my Teams channels, so my colleagues and I can work on the same version of a document, rather than sending successive versions by email.;C;QCMUnique
PILPROJ;Deb;PILPROJ_DEB_FR_4;Fichiers;Je travaille avec mon équipe sur un fichier Excel partagé dans Teams. Quelle est la bonne pratique pour informer Alex qu'il y a une erreur sur une de ses formules?;I work with my team on an Excel file shared in Teams. What is the best way to inform Alex that there is an error on one of his formulas?;Je lui envoie un email avec une capture d'écran de la formule.//J'ajoute un commentaire en le @mentionnant sur la cellule concernée et je lui envoie un message sur Teams.;I send him an email with a screenshot of the formula.//I add a comment @mentionning him on the cell concerned and I send him a message on Teams.;"Si j'ai des questions sur une zone spécifique d'un fichier Word, Powerpoint ou Excel, je vais dans l'onglet ""Révision"" du document et j'insère des ""Commentaires"" et j'utilise le @mention. Cela permettra à la personne concernée d'apporter rapidement la réponse à ma question. ";"If I have questions about a specific area of a Word, Powerpoint or Excel file, I go to the ""Review"" tab of the document and insert ""Comments"" and use the @mention. This will allow the person concerned to quickly respond to my question.";B;QCMUnique
PILPROJ;Deb;PILPROJ_DEB_FR_5;Applications;Je souhaite suivre l'avancement d'un projet en attribuant des tâches aux membres de l'équipe. On m'a conseillé d'utiliser Planificateur. Quelle icône correspond à Planificateur? ;"I want to follow the progress of a project by assigning tasks to team members. I was advised to use Planner. Which icon belongs to Planner? (I was advised to use an App called ""Planner"") - lets not assume that they know Planner right away.";Icône OneNote//Icône Excel//Icône Planificateur//Icône Forms ;OneNote Icon//Excel Icon//Planner Icon//Forms Icon;Pour suivre l'avancement d'un projet, j'utilise l'application Planificateur que je peux épingler à mon canal. Je peux affecter des tâches à des personnes spécifiques et ajouter des dates limites d'exécution. Cela me permet de suivre l'avancement du projet en un seul endroit !;To track the progress of a project, I use the Planner app that I can add to a channel or pin to my navigation bar. I can assign tasks to specific people and add execution deadlines. This allows me to follow the progress of the project in one place!;C;QCMUniqueImage
PILPROJ;Deb;PILPROJ_DEB_FR_6;Applications;Sur Teams, je peux épingler une application dans une équipe. Dans quel onglet puis-je retrouver le catalogue d'applications disponibles? ;In Microsoft Teams, I can add an app to a team. In which tab can I find the catalog of available apps? ;Onglet Activité//Onglet … //Onglet Applications;Activity tab//Tab ...//Applications tab;Quand je travaille sur une application tierce avec mon équipe, je vérifie qu'elle est disponible dans le catalogue d'applications de Teams et je l'épingle dans un des canaux. ;If we use a third-party application with my team, I can check whether it's available in the Teams app catalog and pin it to one of the channels.;C;QCMUniqueImage
PILPROJ;Deb;PILPROJ_DEB_FR_8;Statut/Raccourcis;Dans mon flux d'activités (notifications), je retrouve: ;In my activity feed (notifications), I can find:;Les réactions à mes publications dans les canaux.//Mes appels manqués.//Les publications où je suis mentionné.e.//Les trois réponses ci-dessus.;Reactions to my posts in the channels.//My missed calls.//The publications where I am mentioned.//All of the above.;"Je consulte mes notifications depuis l'onglet ""Activités"" et j'utilise les filtres pour retrouver facilement une publication où on me mentionne.";"I check my notifications from the ""Activity"" tab and I can use the filters to easily find a post where I'm mentioned.";D;QCMUnique
PILPROJ;Deb;PILPROJ_DEB_FR_9;Appels;Que fait Alex dans la vidéo? ;What is Alex doing in the video?;Il crée une réunion.//Il crée une conversation de groupe.//Il crée un groupe de contacts d'appels.;He creates a meeting.//He creates a group conversation.//He creates a group of call contacts.;"Si je dois joindre régulièrement des personnes spéficiques à une équipe, je crée un groupe de contacts pour les retrouver facilement dans l'onglet ""Appels"". Cela m'évite de parcourir tout mon historique d'appels. ";"If I have to regularly add specific people to a team, I create a group of contacts to easily find them in the ""Calls"" tab. This saves me from going through my entire call history.";C;QCMUniqueVideo
PILPROJ;Deb;PILPROJ_DEB_FR_10;Appels;J'ai besoin d'une information urgente de la part de Julie. Mais elle est absente et son message d'absence indique d'appeler son responsable Martin L. Comment trouver le numéro de ce dernier? ;I need urgent information from Julie. But she is away and her out of office message recommends calling her manager Martin L. How do do I find his telephone number? ;"Je demande à mon responsable s'il connaît le numéro de Martin L. .//Je peux retrouver les informations de Martin L. en cliquant sur l'onglet ""Organisation"" dans ma conversation avec Julie.//J'attends le retour de Julie. ";"I ask my manager if he knows Martin L.'s number//I can find Martin L.'s contact details by clicking on the ""Organization"" tab in my conversation with Julie.//I'll wait for Julie's return.";"Quand une nouvelle personne de mon organisation me contacte et que je souhaite savoir à quelle équipe cette personne est rattachée, j'utilise l'onglet ""Organisation"" situé dans notre conversation. ";"When a new person in my organization contacts me and I want to know which team that person is part of, I can use the ""Organization"" tab in our conversation.";B;QCMUnique
PILPROJ;Deb;PILPROJ_DEB_FR_11;Calendrier;"Vrai ou faux? Toute personne qui utilise la fonctionnalité ""Assistant de planification"", aura accès aux détails de mon calendrier. ";"True or false? Everyone who uses the ""Scheduling Assistant"", will have access to the details of my calendar.";Vrai//Faux;"True//False
";"J'utilise la fonctionnalité ""Assistant de planification"" pour voir les créneaux disponibles de mes interlocuteurs. S'ils ne m'ont pas partagé leurs calendriers sur Outlook, je n'aurai pas accès aux détails de leurs calendriers. Si une case est vide, cela signifie qu'ils sont disponibles, si elle est pleine, ils sont occupés, si elle est composée de rayures, ils sont occupés provisoirement et si elle est rouge, ils sont absents. ";"I can use the ""Scheduling Assistant"" feature to check the availability of my participants. If they have not shared their Outlook calendar, I will not see the details of their schedules. If a box is empty, it means they are available, if the box is filled with a colour, they are busy, if it is filled with stripes, they are tentative and if the box is red, they are away.";B;QCMUnique
PILPROJ;Deb;PILPROJ_DEB_FR_12;Calendrier;Pour avoir une vue sur mes réunions de la semaine, je peux filtrer la vue de mon calendrier par: ;If I want to have a view of all my upcomign meetings, I have options in my calendar to filter the view by : ;Jour//Semaine//Semaine de travail//Mois;Day//Week//Work Week//Month;En début de semaine, je prends connaissance des réunions programmées de la semaine. Je me bloque du temps dans mon agenda pour pouvoir avancer sur mes dossiers de fond. ;At the beginning of the week, I can check my agenda to see my meetings of the week. I can also block some time in my agenda to work on my projects.;B//C;QCMMultipleVideo
