Module;Niveau;#;Sous-Thématiques;Questions;Réponses;Bonnes pratiques;Réponses attendues;Mécaniques
COMM;Deb;COMM_DEB_FR_1;Conversations;Comment créer une conversation de groupe ?;"J'écris à mon collègue pour lui demander comment faire//Je clique sur l'icône ""NouveIle conversation"" et tape les noms des personnes à ajouter. Je peux ensuite commencer à composer mon message.//Je créé une réunion";"Je peux donner un nom à la conversation de groupe en cliquant sur la flèche pointant vers le bas tout à droite du champ.  
Je préfère créer des conversations de groupe plutôt que des chaînes d'emails interminables !";B;QCMUnique
COMM;Deb;COMM_DEB_FR_2;Conversations;QueIle icône permet d'ouvrir une conversation dans une nouveIle fenêtre? ;"Icône ""…""//Icône ""Filtre""//Icône ""Séparer la conversation""";Il est confortable d'ouvrir certaines conversations dans des fenêtres séparées ! ;C;QCMUniqueImage
COMM;Deb;COMM_DEB_FR_3;Fichiers;Dans une conversation de groupe, sur quelle icône dois-je cliquer pour ajouter un fichier? ;Icône Format//Icône Joindre//Icône Emoji;"Dans une conversation de groupe; je préfère partager des fichiers stockés sur OneDrive pour que tout le monde dispose des versions synchronisées. ";B;QCMUniqueImage
COMM;Deb;COMM_DEB_FR_4;Fichiers;Je travaille simultanément avec deux de mes collègues sur un fichier Excel partagé sur Teams. Quelle icône me permet d'échanger directement avec les personnes connectées au document? ;"Icône ""Commentaires""//""Icône Conversation//Icône ""…""";"Si j'ai des informations supplémentaires à apporter à un document, j'ouvre un fil de conversation rattaché au document. Pour cela, j'ouvre le fichier sur Teams, je clique sur ""Conversations"" et je compose mon message en n'oubliant pas de mentionner (@) la personne concernée. De cette manière, mes commentaires restent affiliés au document et je ne risque pas de créer de la confusion.";B;QCMUniqueImage
COMM;Deb;COMM_DEB_FR_5;Applications;Dans une conversation, sur quelle icône dois-je cliquer pour épingler un fichier ou une application? ;"Icône Fichiers//Icône Activité// Icône ""+""";Je peux épingler un fichier (Word, Powerpoint, Excel) ou une application tierce à ma conversation pour le retrouver rapidement en un clic. ;C;QCMUniqueImage
COMM;Deb;COMM_DEB_FR_6;Applications;Je travaille en binôme avec Alex actuellement. Je veux mettre en place des notes partagées à épingler à notre conversation. Quelle application dois-je utiliser? ;Word//OneNote//Yammer//Excel;Quand je travaille en équipe sur un projet, j'utilise les notes partagées pour que tout le monde retrouve les informations au même endroit. ;B;QCMUnique
COMM;Deb;COMM_DEB_FR_7;Statut/Raccourcis;Que fait Alex dans cette vidéo? ;"Il paramètre ses notifications//
Il change sa photo de profil//
Il modifie son statut sur ""Ne pas déranger"" pour avancer sur ses tâches urgentes";Je modifie mon statut pour informer mes interlocuteurs si je suis Disponible, Occupé, De retour bientôt, Absent ou qu'il ne faut pas me déranger. ;C;QCMUniqueVideo
COMM;Deb;COMM_DEB_FR_8;Statut/Raccourcis;Quel est le bon parcours pour paramétrer mes notifications? ;Je sélectionne Paramètres//Je clique sur ma photo de profil//Je sélectionne Notifications//Je personnalise mes notifications par activité;Pour ne pas être notifié(e) pour des activités qui ne m'intéressent pas, je paramètre mes notifications ! Si j'utilise rarement Teams, je préfère être notifié par e-mail. Au contraire, si j'utilise quotidiennement Teams, je préfère recevoir des fenêtres de notifications sur mon ordinateur.;B//A//C//D;BonParcours
COMM;Deb;COMM_DEB_FR_9;Appels;Comment retrouver mon historique d'appels et ma messagerie vocale? ;"Je peux les retrouver dans mes conversations//
Je peux les retrouver dans mon calendrier//
Pour retrouver mon historique d'appels et la messagerie vocale, je clique sur l'onglet ""Appels"" dans le menu de navigation de gauche";Pour ne pas manquer d'appel, je peux installer Teams sur mon téléphone portable.;C;QCMUniqueImage
COMM;Deb;COMM_DEB_FR_10;Appels;Lors d'un appel Teams, où dois-je cliquer pour partager mon écran à mes interlocuteurs ?;"Image "" ... ""//Image ""Partager mon écran""//Image ""Ajouter des personnes""";"Quel mode de partage choisir ?
Si je dois montrer plusieurs documents à la fois, je choisis le partage de mon bureau. 
Si j'ai seulement besoin de montrer un seul document, je choisis le partage d'une fenêtre (les participants ne me verront pas changer de fenêtre ou de bureau).";B;QCMUniqueImage
COMM;Deb;COMM_DEB_FR_11;Calendrier;Que fait Megan dans cette vidéo? ;Elle crée une nouvelle réunion//Elle passe un appel//Elle change la vue de son calendrier pour voir ses créneaux disponibles de la journée;"Dans Teams, je paramètre la vue de mon calendrier sur ""Jour"" pour avoir une vue d'ensemble sur mon agenda du jour. ";C;QCMUniqueVideo
COMM;Deb;COMM_DEB_FR_12;Calendrier;On me demande de rajouter un ordre du jour à ma réunion. Dans quelle zone dois-je le renseigner? ;Zone Ajouter un titre//Zone Ajouter un canal// Zone Saisir les informations de la réunion;Quand je crée une réunion Teams, j'ajoute toujours un ordre du jour pour informer les participants des sujets à discuter. ;C;QCMUniqueImage
