9075;THEMATIQUE          ;7;en;Files;;
9077;THEMATIQUE          ;1;en;Applications;;
9079;THEMATIQUE          ;5;en;Calls;;
9082;QUESTION            ;104;fr;J'utilise l'application Teams sur mobile. Je souhaite consulter le fichier Excel attaché à la conversation de groupe Prévisions des ventes 2021. Quel est le bon parcours pour le consulter? ;Comme sur la version PC de Teams, les fichiers attachés aux conversations de groupe restent accessibles en mobilité. ;
9083;QUESTION            ;103;fr;Quelle fonctionnalité permet de m'avertir quand mon interlocuteur.rice sera de nouveau disponible? ;Je ne sollicite pas mon interlocuteur.rice, lorsque son statut est sur Ne pas déranger ouEn présentation. Je sélectionne plutôt l'action M'avertir lorsque le statut devient disponible comme cela je le.la solliciterai au bon moment. ;
9084;QUESTION            ;140;fr;Pour co-éditer simultanément un document Excel avec mes collègues, je clique sur: ;Si je souhaite co-éditer un document avec plusieurs de mes collègues, j'évite de le télécharger sur mon PC pour bénéficier de la fonctionnalité co-édition. ;
9085;QUESTION            ;162;fr;Je sais que j'ai posté une réponse importante à un message d'Alex, mais je ne sais plus dans quelle équipe Teams. Comment retrouver mon message? ;Cela m'arrive de vouloir retourner sur une publication à laquelle j'ai réagi. Pour retrouver mes dernières activités dans les différentes équipes Teams auxquelles j'appartiens, je vais dans l'onglet Activité et je sélectionne Mon activité au lieu de Flux.;
9086;QUESTION            ;219;fr;J'utilise plusieurs Planificateurs appartenant à diverses équipes/canaux. Quel est le bon parcours pour retrouver toutes mes tâches en un seul endroit ?;Pour retrouver toutes mes tâches en un seul endroit, je dispose d'un affichage personnel sans avoir à quitter Teams: Je clique sur l'onglet  ... dans le menu de navigation à gauche, puis je recherche Planificateur et je l'ouvre. Je fais un clic droit sur ce nouvel onglet pour accéder à l'option Epingler. Ainsi, je peux accéder rapidement à toutes mes tâches affectées depuis plusieurs Planificateurs. ;
9087;QUESTION            ;123;fr;Je suis responsable d'une équipe de 30 personnes et je pars en vacances ce soir. Je publie un message dans l'équipe Teams pour indiquer qui contacter pendant mon absence et pour demander si certains collaborateurs ont besoin de revoir des points avec moi avant mon départ. Ai-je bien fait? ;Mon équipe a ainsi conscience que je suis disponible pour les urgences jusqu'à mon départ. Ils sauront également qui contacter prioritairement pendant mon absence.;
9088;QUESTION            ;154;fr;Lorsque je regarde l'application Teams sur le PC de mon manager, celle-ci a un fond noir. Mon manager est-il un magicien? ;En allant dans les paramètres de Teams via ma photo de profil, je peux choisir le thème de l'application. ;
9089;QUESTION            ;238;fr;Je souhaite féliciter un membre de mon équipe de commerciaux, pour avoir remporté un contrat d'exclusivité avec l'un de nos clients, comment faire? ;J'évite au maximum les chaînes de mail pour des félicitations ou des remerciements ! En revanche, je n'hésite pas utiliser les badges colorés de Teams pour féliciter mes collaborateurs pour leurs succès, pour remercier mes collègues de leurs efforts, conseils, etc …;
9090;QUESTION            ;264;fr;Vrai ou faux? Dans Teams, je peux personnaliser mon statut pour indiquer ma localisation géographique, mes plages horaires de disponibilité ou mon humeur !;Je peux personnaliser Teams chaque jour !;
9091;QUESTION            ;365;fr;Qui peut télécharger la liste des participants à une réunion? ;;
9092;QUESTION            ;228;fr;Sur Teams, je peux épingler une application dans une équipe. Dans quel onglet puis-je retrouver le catalogue d'applications disponibles? ;Quand je travaille sur une application tierce avec mon équipe, je vérifie qu'elle est disponible dans le catalogue d'applications de Teams et je l'épingle dans un des canaux. ;
9093;QUESTION            ;127;fr;Je suis en réunion avec 3 collègues, je projette mon bureau et l'un de mes collègues propose de prendre la main sur mon poste pour nous expliquer un process compliqué. Est-ce possible? ;Je peux donner le contrôle sur mon PC de façon souple, à des collègues qui participent à la même réunion que moi. En donnant le contrôle, je peux identifier la souris de mon collègue facilement car sa photo de profil apparaîtra à côté de sa souris. Je peux aussi reprendre ce contrôle très facilement.;
9094;QUESTION            ;232;fr;Je fais partie de plusieurs équipes sur Teams et j'ai du mal à m'y retrouver. Que puis-je faire pour y mettre de l'ordre ?;Pour maintenir de l'ordre dans Teams, je dois régulièrement épingler/masquer les équipes ou les canaux qui ne sont plus d'actualité.;
9095;QUESTION            ;199;fr;Quel est le bon parcours pour ajouter un délégué pour mes appels Teams?;Sur Teams, les délégués peuvent passer et recevoir des appels en mon nom. J'utilise cette fonctionnalité quand je ne suis pas joignable, quand je suis en déplacement, en congés ou en voyage professionnel. ;
9096;QUESTION            ;114;fr;Je fais partie d'un canal privé nommé Prévision des ventes avec trois de mes collègues. Je souhaite leur partager la nouvelle procédure interne que je viens de recevoir par email, concernant les déplacements professionnels:;Pour ne pas polluer la communication de mes équipes, je choisis toujours le bon outil pour adresser mon message. ;
